cell,vdd,temp,proc,cload,drive,wp,wn,tpHL_ps,tpLH_ps,tpd_ps,slew_HL_v_per_ps,power_uw,source
nand2,1.62,-40,tt,1e-15,1,8.4e-07,4.2e-07,2.7868202256164056,3.0132374040228274,2.9000288148196165,0.4650461440200518,0.683350382961909,synthetic
nand2,1.62,-40,tt,1e-15,2,1.68e-06,8.4e-07,1.339970550234496,1.476399492977172,1.408185021605834,0.9671854353613959,1.3702670563552934,synthetic
nand2,1.62,-40,tt,1e-15,4,3.36e-06,1.68e-06,0.7007847060932324,0.7510425438621937,0.7259136249777131,1.8493554278959683,2.721493515386091,synthetic
nand2,1.62,-40,tt,1e-15,8,6.72e-06,3.36e-06,0.3414349073735622,0.36407158600726575,0.35275324669041397,3.795745461321719,5.416399983255213,synthetic
nand2,1.62,-40,tt,5e-15,1,8.4e-07,4.2e-07,14.084178853964715,14.486098585775084,14.285138719869899,0.09201814414868599,3.2998236832981678,synthetic
nand2,1.62,-40,tt,5e-15,2,1.68e-06,8.4e-07,6.78147640839107,7.290897157346369,7.03618678286872,0.1911088267440395,6.419309950297188,synthetic
nand2,1.62,-40,tt,5e-15,4,3.36e-06,1.68e-06,3.5129669309479277,3.7643481116553774,3.6386575213016528,0.3689189296325917,12.886621997027756,synthetic
nand2,1.62,-40,tt,5e-15,8,6.72e-06,3.36e-06,1.7692046761558455,1.881127817016832,1.8251662465863387,0.7325325427106425,25.59216203529813,synthetic
nand2,1.62,-40,tt,1e-14,1,8.4e-07,4.2e-07,27.72930094580456,29.731903179841858,28.73060206282321,0.046737564806735056,6.489302061988466,synthetic
nand2,1.62,-40,tt,1e-14,2,1.68e-06,8.4e-07,13.773215616983604,14.910030148535917,14.341622882759761,0.09409567351881987,12.702437729407844,synthetic
nand2,1.62,-40,tt,1e-14,4,3.36e-06,1.68e-06,6.769104801864637,7.2982498140023475,7.033677307933493,0.19145810826314882,24.678099291920915,synthetic
nand2,1.62,-40,tt,1e-14,8,6.72e-06,3.36e-06,3.358717528678499,3.7710413187238574,3.5648794237011785,0.3858615644019093,49.89229343477715,synthetic
nand2,1.62,-40,tt,2e-14,1,8.4e-07,4.2e-07,55.36964486665906,60.2513716083496,57.81050823750433,0.023406326753964594,13.020278076700421,synthetic
nand2,1.62,-40,tt,2e-14,2,1.68e-06,8.4e-07,27.086323893424094,29.732235850515625,28.409279871969858,0.047847024391325314,26.540390675949368,synthetic
