vdd,temp,cload_ff,drive_strength,proc_factor,cell_type_inv,cell_type_nand2,cell_type_dff,vdd_sq,inv_drive,vdd_minus_vth,tpd_ps,tpHL_ps,tpLH_ps,cell,proc,tpd_ps_log,split
1.62,-40.0,1.0,1.0,1.0,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,5.881004719664208,5.758174983103046,6.00383445622537,dff,tt,1.7717276180049937,test
1.62,-40.0,1.0,2.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,2.9892999501078688,2.9076799373290303,3.0709199628867068,dff,tt,1.0950392295910882,train
1.62,-40.0,1.0,4.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,1.4997568388930742,1.4293341342533414,1.570179543532807,dff,tt,0.4053029875627217,train
1.62,-40.0,1.0,8.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,0.7414306639482107,0.7256368461293786,0.7572244817670428,dff,tt,-0.299173629600675,train
1.62,-40.0,5.0,1.0,1.0,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,29.956631817165388,28.444694875403044,31.46856875892773,dff,tt,3.3997507296710867,train
1.62,-40.0,5.0,2.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,14.928873253625866,14.28324293549846,15.574503571753272,dff,tt,2.7032971400914025,train
1.62,-40.0,5.0,4.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,7.35131483309388,7.051866779460375,7.650762886727387,dff,tt,1.994879186082352,test
1.62,-40.0,5.0,8.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,3.69772961079612,3.5828151878029866,3.812644033789253,dff,tt,1.3077190126054203,train
1.62,-40.0,10.0,1.0,1.0,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,59.2694255338063,55.75826619352449,62.7805848740881,dff,tt,4.082093583392497,train
1.62,-40.0,10.0,2.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,30.12225504154657,28.604820173708497,31.639689909384632,dff,tt,3.405264268706424,train
1.62,-40.0,10.0,4.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,15.095472241800612,14.694921729340944,15.49602275426028,dff,tt,2.7143948473200346,train
1.62,-40.0,10.0,8.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,7.299575634357926,6.9418374965639575,7.657313772151895,dff,tt,1.9878162141848628,train
1.62,-40.0,20.0,1.0,1.0,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,121.89170610638098,116.94990961890444,126.83350259385752,dff,tt,4.803132995668654,val
1.62,-40.0,20.0,2.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,61.114474419294055,58.91699788424319,63.31195095434492,dff,tt,4.112748735327959,train
1.62,-40.0,20.0,4.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,29.79994968710924,28.904083397898,30.69581597632048,dff,tt,3.3945067051578945,train
1.62,-40.0,20.0,8.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,15.053159817613704,14.208037395712472,15.898282239514934,dff,tt,2.7115879238162077,train
1.62,-40.0,50.0,1.0,1.0,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,296.2997067734607,283.6118347535048,308.98757879341656,dff,tt,5.69137146495183,train
1.62,-40.0,50.0,2.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,150.07757587132613,147.72764422942754,152.42750751322473,dff,tt,5.01115233288417,train
1.62,-40.0,50.0,4.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,74.40339767153648,70.89763146268501,77.90916388038794,dff,tt,4.30950160842449,val
1.62,-40.0,50.0,8.0,1.0,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,37.73748130370329,36.05897124693665,39.41599136046992,dff,tt,3.630653799602647,val
1.62,-40.0,1.0,1.0,0.85,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,5.036022225253111,4.88611971369279,5.185924736813433,dff,ff,1.6166165294474042,train
1.62,-40.0,1.0,2.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,2.5018184620529045,2.416135557738705,2.587501366367104,dff,ff,0.9170178522791915,val
1.62,-40.0,1.0,4.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,1.279547506009342,1.214221345931181,1.344873666087503,dff,ff,0.24650650450160533,train
1.62,-40.0,1.0,8.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,0.6387670669546396,0.6203231714898304,0.6572109624194488,dff,ff,-0.4482154185184145,train
1.62,-40.0,5.0,1.0,0.85,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,25.38718810474728,24.27509411106143,26.499282098433124,dff,ff,3.234244641444421,test
1.62,-40.0,5.0,2.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,12.544009037671366,12.0157111958022,13.072306879540534,dff,ff,2.5292431840854204,train
1.62,-40.0,5.0,4.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,6.297639583721165,5.935379931495831,6.659899235946499,dff,ff,1.840174893940818,train
1.62,-40.0,5.0,8.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,3.071618777094213,2.9392989136334644,3.203938640554962,dff,ff,1.1222047115869027,train
1.62,-40.0,10.0,1.0,0.85,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,49.37229679466179,47.513962371004645,51.23063121831893,dff,ff,3.8993894732599883,test
1.62,-40.0,10.0,2.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,25.074990280532965,23.96382495732867,26.18615560373726,dff,ff,3.22187094623209,train
1.62,-40.0,10.0,4.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,12.560513723241725,12.067977841090226,13.05304960539322,dff,ff,2.5305580617355923,train
1.62,-40.0,10.0,8.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,6.28788431757104,6.099372613867214,6.476396021274867,dff,ff,1.8386246576248224,train
1.62,-40.0,20.0,1.0,0.85,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,101.15321848830584,99.46777026501664,102.83866671159508,dff,ff,4.616636382072503,train
1.62,-40.0,20.0,2.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,49.890542969267344,47.70073226706893,52.08035367146576,dff,ff,3.909831465142393,val
1.62,-40.0,20.0,4.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,25.119123318930328,24.13098911699472,26.107257520865936,dff,ff,3.223629441266877,test
1.62,-40.0,20.0,8.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,12.763570548111623,12.35415091199823,13.17299018422502,dff,ff,2.5465950622930644,train
1.62,-40.0,50.0,1.0,0.85,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,253.8427219666432,241.6736852362428,266.0117586970436,dff,ff,5.536714870376301,train
1.62,-40.0,50.0,2.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,126.3597190428201,120.69672538194922,132.02271270369098,dff,ff,4.839132752465285,train
1.62,-40.0,50.0,4.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,63.1470315306278,61.68834461990644,64.60571844134915,dff,ff,4.145465841050763,train
1.62,-40.0,50.0,8.0,0.85,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,31.68928152590108,29.84185989323449,33.53670315856767,dff,ff,3.455978501495709,train
1.62,-40.0,1.0,1.0,1.2,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,7.171041974259827,6.719927761483231,7.622156187036424,dff,ss,1.970050968217546,train
1.62,-40.0,1.0,2.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,3.581198183416195,3.404508470778981,3.757887896053408,dff,ss,1.275697432522121,train
1.62,-40.0,1.0,4.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,1.7456533012552136,1.6633406313731511,1.827965971137276,dff,ss,0.5571288702634103,train
1.62,-40.0,1.0,8.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,0.9024264104602098,0.886305295253471,0.9185475256669484,dff,ss,-0.10266813175591682,train
1.62,-40.0,5.0,1.0,1.2,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,35.95392172746523,35.4898408970519,36.41800255787855,dff,ss,3.582238166603031,train
1.62,-40.0,5.0,2.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,18.00169409386713,17.05797411578176,18.9454140719525,dff,ss,2.8904658697934527,train
1.62,-40.0,5.0,4.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,8.8889883244984,8.55723441235648,9.220742236640316,dff,ss,2.184813243781164,train
1.62,-40.0,5.0,8.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,4.481517144508345,4.282784949944797,4.680249339071894,dff,ss,1.4999616374262468,test
1.62,-40.0,10.0,1.0,1.2,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,72.84155105597239,71.56926546324685,74.11383664869791,dff,ss,4.2882865486465915,train
1.62,-40.0,10.0,2.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,35.66677445549632,33.951034146199305,37.38251476479333,dff,ss,3.574219567905949,test
1.62,-40.0,10.0,4.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,17.92371665354233,17.405280938855537,18.44215236822912,dff,ss,2.8861247885832753,train
1.62,-40.0,10.0,8.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,9.152418933775472,8.763662097606742,9.541175769944202,dff,ss,2.2140182086963796,test
1.62,-40.0,20.0,1.0,1.2,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,145.87723190095787,141.35228220238142,150.40218159953432,dff,ss,4.982765390581931,val
1.62,-40.0,20.0,2.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,72.71570165319382,70.17886784813741,75.25253545825022,dff,ss,4.286557339942863,test
1.62,-40.0,20.0,4.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,35.89186174253197,34.778053607333014,37.00566987773094,dff,ss,3.580510577387045,train
1.62,-40.0,20.0,8.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,17.850751900326884,17.10008216950849,18.60142163114528,dff,ss,2.882045630606101,train
1.62,-40.0,50.0,1.0,1.2,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,359.17013892573675,343.1654209324381,375.17485691903545,dff,ss,5.883796200805717,test
1.62,-40.0,50.0,2.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,179.78030765323768,172.95698438993287,186.60363091654253,dff,ss,5.191735592420002,train
1.62,-40.0,50.0,4.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,89.0409690140549,85.22833241487729,92.85360561323247,dff,ss,4.489096589815246,val
1.62,-40.0,50.0,8.0,1.2,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,44.73499145079256,42.50329995151359,46.96668295007153,dff,ss,3.800756001891741,val
1.62,-40.0,1.0,1.0,1.05,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,6.229335919431951,5.851422836209015,6.607249002654887,dff,fs,1.8292697331261574,test
1.62,-40.0,1.0,2.0,1.05,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,3.125085170955588,3.04493033597054,3.2052400059406354,dff,fs,1.1394615375227501,train
1.62,-40.0,1.0,4.0,1.05,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,1.5943591120728322,1.5121549041455158,1.6765633200001488,dff,fs,0.46647184487664844,val
1.62,-40.0,1.0,8.0,1.05,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,0.7743549109976269,0.7632464960135673,0.7854633259816866,dff,fs,-0.2557249691497607,val
1.62,-40.0,5.0,1.0,1.05,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,31.592377357271648,30.47050795268896,32.714246761854334,dff,fs,3.4529158686227994,val
1.62,-40.0,5.0,2.0,1.05,0.0,0.0,1.0,2.6244000000000005,0.5,1.27,15.74311101516838,15.325683258559009,16.160538771777755,dff,fs,2.756402873723844,val
1.62,-40.0,5.0,4.0,1.05,0.0,0.0,1.0,2.6244000000000005,0.25,1.27,7.845736634413079,7.572489468116255,8.118983800709904,dff,fs,2.0599702803635527,val
1.62,-40.0,5.0,8.0,1.05,0.0,0.0,1.0,2.6244000000000005,0.125,1.27,3.904540371661478,3.6754735763869,4.133607166936056,dff,fs,1.3621400738446963,test
1.62,-40.0,10.0,1.0,1.05,0.0,0.0,1.0,2.6244000000000005,1.0,1.27,62.0600048198161,59.029345630359735,65.09066400927247,dff,fs,4.128101736684042,train
